date,id,tweet
Mon Dec 30 08:06:26 +0000 2019,72898202,"#SanJose #101 Northbound before #BrokawRd , all lanes are blocked due to a fatal accident. A special traffic alert has been issued. Traffic is being diverted off to #OldBayshoreHwy . Unknown when lanes will re-open. #KCBSTraffic #Waze"
Mon Dec 30 08:03:39 +0000 2019,72898202,"#SanJose #101 Northbound before #BrokawRd. , all lanes are blocked due to a fatal accident. A special traffic alert has been issued. Traffic is being diverted off to #OldBayshoreHwy . Unknown when lanes will re-open. @KCBSAMFMTraffic @KCBSRadio"
Mon Dec 30 07:45:22 +0000 2019,72898202,"#BayBridge 80EB before #TreasureIsland, all lanes have been re-opened after a multi-vehicle accident had just the two left lanes open. @KCBSAMFMTraffic @KCBSRadio"
Mon Dec 30 07:15:10 +0000 2019,72898202,#SouthSanFrancisco. #280SB after Westborough Blvd. an accident involving an overturned vehicle has just the left lane open #KCBSTraffic #Waze
Mon Dec 30 07:13:14 +0000 2019,72898202,"#SouthSanFrancisco , #280SB after Westborough Plvd. an accident involving an overturned vehicle is blocking lanes. At the moment, just the left lane is open @KCBSAMFMTraffic @KCBSRadio"
Mon Dec 30 06:55:41 +0000 2019,72898202,#Sierra #Highway88 Chains are now required on Highway 88 between Kirkwood &amp; Picketts Junction. No chains are yet required on Highways 50 or 80. #KCBSTraffic #Waze
Mon Dec 30 06:40:22 +0000 2019,72898202,#Benicia #Highway780 Eastbound 780 before Military West St—A stall blocks the far right lane. Cars are swerving to avoid it. #KCBSTraffic #Waze
Mon Dec 30 06:16:27 +0000 2019,72898202,#Martinez #Highway4 The Alhambra Avenue on-ramp to Westbound Highway 4 is blocked by a crash. #KCBSTraffic #Waze
Mon Dec 30 05:43:03 +0000 2019,72898202,#Vallejo #Highway80 Six inches of standing water are reported across all lanes of the Georgia St on-ramp to Westbound 80. #KCBSTraffic #Waze
Mon Dec 30 05:31:25 +0000 2019,72898202,#Concord #Highway680 Up to two feet of standing water is being reported across all lanes of the Concord Avenue on-ramp to Northbound 680. #KCBSTraffic #Waze
Mon Dec 30 05:27:15 +0000 2019,72898202,#Berkeley #Highway80 Westbound 80 before Gilman St—All lanes are blocked by a solo car spinout in the third lane from the left. #KCBSTraffic #Waze
